year,fat,inj
1965,0,0
1966,22,33
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,2.3,4
1972,10,13
1973,0,0
1974,4,10
1975,0,0
1976,8,9
1977,0,0
1978,0,0
1979,4,14
1980,0,0
1981,0,0
1982,9,3
1983,14,4
1984,31,32
1985,1,3
1986,17,13
1987,6,14
1988,16,26
1989,19,43
1990,12,6
1991,44,26
1992,11,20
1993,25,43
1994,12,31
1995,12,3
1996,9,2
1997,16,19
1998,15,44
1999,45,56
2000,7,0
2001,8,17
2002,3,3
2003,14,8
2004,11,9
2005,21,13
2006,29,19
2007,65,61
2008,28,26
2009,69,49
2010,9,5
2011,29,37
2012,96,110
2013,71,29
2014,43,71
2015,184,188
2016,162,260
2017,104,558
2018,0,0